song_id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,label
37,-112.654205,142.86346,-31.711468,41.002148,-15.457539,19.029064,-13.386503,20.608791,0.68181264,1.5873213,8.788898,1.1905321,3.8713272,-0.61926365,8.97055,-0.46588808,7.7672095,2.3273668,4.369438,0.31735048,0
38,-152.09764,133.12527,-31.055859,37.264404,-7.287563,18.631628,-12.6747465,7.497749,-1.5955259,-0.110507354,1.5748041,-2.4140568,0.27009836,-4.306871,3.1594968,-4.367143,1.3616279,-2.4948933,1.9041007,-0.6651272,0
39,-136.2251,125.23835,-47.68129,42.259403,-20.168238,32.964657,-11.890969,11.341601,5.8239775,2.1720428,7.4724064,1.247686,6.4596324,-2.1617384,0.57180053,-4.4083266,7.318397,-0.6098257,5.3530006,6.1287937,0
40,-188.32864,139.86502,-10.322791,36.091408,-11.965332,23.655445,-3.7160282,10.201537,9.394474,6.350454,5.5532923,1.95797,9.921077,-0.89079255,7.931592,2.90293,5.732602,3.9845746,8.384826,4.919978,0
41,-161.47702,143.60898,-20.266766,31.201302,-13.350056,19.817318,-15.621947,8.65375,2.7104304,6.5364685,3.6562026,1.0840722,4.908701,-1.6868541,7.5992355,-1.8420681,2.4278142,-0.5084121,5.7112937,-2.6478918,0
42,-124.74794,142.78723,-41.731956,34.067066,-29.204638,12.758958,-19.834465,3.614299,-8.978664,4.193292,-5.3742824,-2.4014683,2.1472447,-8.566444,8.904315,-1.1903133,4.1346617,-2.331281,7.2230577,-2.4733808,0
43,-275.31653,137.49658,42.79752,52.901142,10.68639,17.987345,-8.710975,9.923695,-2.4049945,-1.5659201,-1.6305927,-4.461899,1.1093597,1.4383918,9.04138,0.768975,-0.4460293,-1.6727347,2.3685026,-5.0510545,0
44,-157.13693,142.29114,-35.002037,34.730946,-1.5041351,26.943718,-1.4775513,8.429062,2.3700833,2.5405457,0.9283036,4.3533893,3.6880574,1.0949775,10.448563,0.673959,1.0445067,-2.1781723,8.05189,1.4725665,0
45,-143.13614,131.16742,-38.68894,56.2047,-12.445417,25.686544,-6.6026816,10.996943,4.2135415,3.1418107,5.3876166,3.855501,9.83308,2.3935866,9.581049,-0.014245012,6.606839,0.23944859,3.6206355,-0.8378903,0
46,-187.98607,163.82285,-37.87625,35.07892,9.218943,19.986057,3.7319663,1.4518157,20.95079,-3.3366568,4.1183524,3.5727413,3.8015277,1.6209427,1.9509772,8.993529,-1.2377493,1.8711224,1.8265182,-3.2691562,0
